"filename", "language", "JavaScript React", "CSS", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/thewanderer/code/ShareSpace/src/pages/ProfilePage/ProfilePage.jsx", "JavaScript React", 96, 0, 0, 0, 0, 0, 0, 7, 103
"/Users/thewanderer/code/ShareSpace/src/pages/Requests/Requests.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/thewanderer/code/ShareSpace/src/pages/Requests/Requests.jsx", "JavaScript React", 34, 0, 0, 0, 0, 0, 0, 4, 38
"/Users/thewanderer/code/ShareSpace/src/pages/SignupPage/SignupPage.css", "CSS", 0, 34, 0, 0, 0, 0, 1, 6, 41
"/Users/thewanderer/code/ShareSpace/src/pages/SignupPage/SignupPage.jsx", "JavaScript React", 108, 0, 0, 0, 0, 0, 0, 8, 116
"/Users/thewanderer/code/ShareSpace/src/pages/UpdateProfile/UpdateProfile.css", "CSS", 0, 26, 0, 0, 0, 0, 0, 4, 30
"/Users/thewanderer/code/ShareSpace/src/pages/UpdateProfile/UpdateProfile.jsx", "JavaScript React", 109, 0, 0, 0, 0, 0, 6, 8, 123
"/Users/thewanderer/code/ShareSpace/src/pages/UpdateWriting/UpdateWriting.css", "CSS", 0, 10, 0, 0, 0, 0, 0, 2, 12
"/Users/thewanderer/code/ShareSpace/src/pages/UpdateWriting/UpdateWriting.jsx", "JavaScript React", 59, 0, 0, 0, 0, 0, 0, 8, 67
"/Users/thewanderer/code/ShareSpace/src/pages/WritingShow/WritingShow.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 2, 8
"/Users/thewanderer/code/ShareSpace/src/pages/WritingShow/WritingShow.jsx", "JavaScript React", 127, 0, 0, 0, 0, 0, 2, 13, 142
"/Users/thewanderer/code/ShareSpace/src/serviceWorker.js", "JavaScript", 0, 0, 98, 0, 0, 0, 31, 13, 142
"/Users/thewanderer/code/ShareSpace/src/setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 4, 1, 6
"/Users/thewanderer/code/ShareSpace/src/utils/commentService.js", "JavaScript", 0, 0, 44, 0, 0, 0, 8, 8, 60
"/Users/thewanderer/code/ShareSpace/src/utils/friendService.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 7, 67
"/Users/thewanderer/code/ShareSpace/src/utils/likesService.js", "JavaScript", 0, 0, 76, 0, 0, 0, 0, 8, 84
"/Users/thewanderer/code/ShareSpace/src/utils/postService.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 12, 91
"/Users/thewanderer/code/ShareSpace/src/utils/tokenService.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 5, 36
"/Users/thewanderer/code/ShareSpace/src/utils/userService.js", "JavaScript", 0, 0, 50, 0, 0, 0, 14, 7, 71
"Total", "-", 2561, 592, 1017, 37741, 26, 32, 199, 430, 42598
